TT        PID       AT        CT        IO_D      WT        RT        TRT       DL        
4527      3596      4264      69        0         194       195       263       0         
4527      3628      4469      58        0         0         -1        58        0         
4527      3632      4489      38        0         0         -1        38        0         
4548      255       900       197       15        3451      2035      3648      1088      
4561      3570      4122      283       0         156       157       439       0         
4561      3604      4292      269       0         0         -1        269       0         
4561      3608      4315      246       0         0         -1        246       0         
4573      790       2805      209       8         1559      160       1768      2987      
4584      3591      4224      63        0         297       298       360       0         
4584      3639      4545      39        0         0         -1        39        0         
4584      3640      4550      34        0         0         -1        34        0         
4586      461       1617      55        7         2914      1666      2969      1672      
4599      1167      4165      110       1         324       150       434       4260      
4599      3611      4321      103       0         175       -1        278       0         
4599      3612      4323      101       0         175       -1        276       0         
4606      3578      4147      200       0         259       260       459       0         
4606      3624      4407      199       0         0         4         199       0         
4606      3627      4447      162       0         -3        -1        159       0         
4606      3629      4471      138       0         -3        -1        135       0         
4606      3626      4411      195       0         0         -1        195       0         
4617      1176      4198      261       2         158       1         419       4256      
4617      3588      4211      248       0         158       315       406       0         
4617      3635      4527      246       0         -156      -1        90        0         
4617      3636      4533      240       0         -156      -1        84        0         
4617      3589      4220      239       0         158       259       397       0         
4617      3631      4487      230       0         -100      -1        130       0         
4617      3634      4499      218       0         -100      -1        118       0         
4651      3598      4267      124       0         260       261       384       0         
4651      3637      4536      115       0         0         -1        115       0         
4651      3638      4538      113       0         0         -1        113       0         
4651      524       1833      73        8         2745      436       2818      1882      
4657      494       1733      12        2         2912      2913      2924      1738      
4661      322       1113      272       12        3276      410       3548      1166      
4669      286       997       298       16        3374      1551      3672      1183      
4682      3590      4223      64        0         395       396       459       0         
4682      3648      4620      62        0         0         -1        62        0         
4682      3654      4636      46        0         0         -1        46        0         
4685      393       1368      96        5         3221      91        3317      1412      
4698      546       1895      64        16        2739      767       2803      1939      
4705      610       2117      68        0         2520      645       2588      2127      
4714      718       2545      97        3         2072      968       2169      2563      
4736      3599      4272      119       0         345       346       464       0         
4736      3651      4626      110       0         0         -1        110       0         
4736      3657      4648      88        0         0         -1        88        0         
4744      59        192       287       3         4265      19        4552      222       
4765      447       1561      111       2         3093      60        3204      1634      
4769      688       2424      15        14        2330      1856      2345      2429      
4772      1318      4682      26        7         64        44        90        4697      
4772      3664      4731      20        0         21        -1        41        0         
4772      3666      4736      15        0         21        -1        36        0         
4787      462       1623      115       1         3049      3048      3164      1677      
4804      1080      3853      30        16        921       802       951       3860      
4818      1192      4253      59        12        506       357       565       4312      
4822      3667      4746      50        0         26        27        76        0         
4822      3672      4778      44        0         0         -1        44        0         
4822      3673      4812      10        0         0         -1        10        0         
4840      3571      4126      279       0         435       436       714       0         
4840      3641      4580      260       0         0         -1        260       0         
4840      3644      4612      228       0         0         28        228       0         
4840      3656      4644      223       0         -27       -1        196       0         
4840      3659      4672      195       0         -27       -1        168       0         
4845      1269      4522      261       0         62        63        323       4549      
4845      3642      4588      257       0         0         -1        257       0         
4845      3643      4589      256       0         0         -1        256       0         
4854      3625      4408      247       0         199       200       446       0         
4854      3646      4614      240       0         0         -1        240       0         
4854      3647      4619      235       0         0         1         235       0         
4854      3650      4625      229       0         0         -1        229       0         
4854      3652      4627      227       0         0         -1        227       0         
4875      3645      4613      34        0         228       229       262       0         
4875      3676      4845      30        0         0         2         30        0         
4875      3681      4864      12        0         -1        -1        11        0         
4875      3682      4868      8         0         -1        -1        7         0         
4875      3678      4850      25        0         0         -1        25        0         
4880      1190      4243      71        2         566       415       637       4314      
4881      3649      4620      27        0         234       235       261       0         
4881      3679      4857      24        0         0         2         24        0         
4881      3684      4880      2         0         -1        -1        1         0         
4881      3683      4878      3         0         0         -1        3         0         
4894      3574      4131      54        0         709       710       763       0         
4894      3677      4846      48        0         0         -1        48        0         
4894      3680      4860      34        0         0         -1        34        0         
4921      219       750       251       6         3920      187       4171      905       
4943      1319      4683      196       8         64        62        260       4770      
4943      3668      4749      191       0         3         74        194       0         
4943      3674      4828      185       0         -70       -1        115       0         
4943      3675      4829      184       0         -70       -1        114       0         
4943      3669      4760      180       0         3         -1        183       0         
4949      893       3189      23        11        1737      1663      1760      3199      
4961      275       958       49        5         3954      702       4003      976       
4961      825       2932      112       12        1917      703       2029      2951      
4978      3576      4137      84        0         757       758       841       0         
4978      3693      4907      71        0         0         -1        71        0         
4978      3694      4917      61        0         0         -1        61        0         
4995      256       905       64        4         4026      1612      4090      957       
4999      1295      4610      135       1         254       21        389       4640      
4999      3653      4632      133       0         234       250       367       0         
4999      3686      4883      131       0         -15       -1        116       0         
4999      3687      4888      126       0         -15       -1        111       0         
4999      3655      4637      128       0         234       -1        362       0         
5008      131       458       246       5         4304      634       4550      584       
5012      798       2838      213       0         1961      1962      2174      2945      
5018      1010      3605      155       4         1258      66        1413      3659      
5025      614       2139      91        8         2795      1152      2886      2163      
5036      159       542       162       4         4332      31        4494      663       
5038      3658      4666      38        0         334       335       372       0         
5038      3702      5013      25        0         0         -1        25        0         
5038      3703      5014      24        0         0         -1        24        0         
5047      800       2844      37        7         2166      577       2203      2849      
5056      508       1788      142       10        3126      62        3268      1930      
5066      3661      4707      48        0         311       312       359       0         
5066      3705      5027      39        0         0         -1        39        0         
5066      3708      5063      3         0         0         -1        3         0         
5080      3662      4713      42        0         325       326       367       0         
5080      3706      5042      38        0         0         -1        38        0         
5080      3707      5044      36        0         0         -1        36        0         
5105      746       2652      43        14        2410      76        2453      2683      
5111      3660      4685      197       0         229       230       426       0         
5111      3695      4922      189       0         0         -1        189       0         
5111      3696      4933      178       0         0         -1        178       0         
5145      1087      3884      45        12        1216      567       1261      3903      
5147      1236      4390      91        0         666       667       757       4408      
5168      633       2217      51        1         2900      2251      2951      2250      
5173      1398      4949      104       0         120       121       224       4954      
5173      3710      5072      101       0         0         -1        101       0         
5173      3715      5086      87        0         0         -1        87        0         
5181      249       876       52        8         4253      896       4305      884       
5191      966       3463      10        9         1718      1719      1728      3470      
5196      3577      4145      218       0         833       834       1051      0         
5196      3700      4997      199       0         0         -1        199       0         
5196      3701      4999      197       0         0         -1        197       0         
5203      160       543       130       1         4530      40        4660      665       
5208      452       1584      291       6         3333      541       3624      1792      
5211      403       1402      190       5         3619      681       3809      1533      
5259      3665      4732      193       0         334       335       527       0         
5259      3712      5076      183       0         0         -1        183       0         
5259      3713      5082      177       0         0         -1        177       0         
5274      1379      4877      290       9         107       1         397       4942      
5274      3685      4882      285       0         107       253       392       0         
5274      3720      5154      265       0         -145      -1        120       0         
5274      3722      5158      261       0         -145      -1        116       0         
5274      3691      4896      271       0         107       -1        378       0         
5282      3663      4723      202       0         357       358       559       0         
5282      3714      5083      199       0         0         -1        199       0         
5282      3718      5098      184       0         0         -1        184       0         
5284      631       2205      44        14        3035      1488      3079      2249      
5289      613       2134      103       12        3052      1388      3155      2223      
5299      517       1806      121       9         3372      421       3493      1818      
5301      217       743       114       9         4444      643       4558      772       
5307      1043      3720      174       9         1413      162       1587      3890      
5308      109       373       141       11        4794      43        4935      456       
5315      854       3057      22        7         2236      1464      2258      3067      
5326      1341      4750      22        13        554       195       576       4756      
5326      3697      4954      12        0         360       -1        372       0         
5326      3698      4958      8         0         360       -1        368       0         
5328      707       2494      129       7         2705      1117      2834      2576      
5334      1232      4379      53        11        902       327       955       4385      
5337      1385      4890      19        14        428       419       447       4906      
5341      3688      4890      195       0         256       257       451       0         
5341      3725      5177      164       0         0         -1        164       0         
5341      3727      5187      154       0         0         -1        154       0         
5344      576       1998      42        9         3304      470       3346      2035      
5349      1450      5132      36        2         181       12        217       5156      
5355      142       502       164       12        4689      53        4853      636       
5355      246       869       256       1         4230      694       4486      1067      
5371      3719      5145      32        0         194       195       226       0         
5371      3743      5347      24        0         0         -1        24        0         
5371      3746      5367      4         0         0         -1        4         0         
5384      430       1500      59        2         3825      998       3884      1549      
5388      3581      4155      192       0         1041      1042      1233      0         
5388      3728      5209      179       0         0         -1        179       0         
5388      3731      5225      163       0         0         -1        163       0         
5390      465       1637      156       0         3597      1029      3753      1647      
5417      341       1170      276       13        3971      1210      4247      1275      
5428      3721      5157      57        0         214       215       271       0         
5428      3747      5375      53        0         0         -1        53        0         
5428      3748      5388      40        0         0         -1        40        0         
5432      665       2329      150       1         2953      533       3103      2357      
5438      66        226       261       15        4951      1236      5212      418       
5444      3699      4972      271       0         201       202       472       0         
5444      3723      5174      270       0         0         255       270       0         
5444      3724      5175      269       0         0         -1        269       0         
5448      124       425       245       14        4778      634       5023      633       
5475      1110      3961      51        9         1463      53        1514      3990      
5477      3726      5182      32        0         263       264       295       0         
5477      3751      5451      26        0         0         -1        26        0         
5477      3754      5462      15        0         0         -1        15        0         
5488      1449      5128      59        6         301       28        360       5133      
5489      3690      4893      259       0         337       338       596       0         
5489      3732      5233      256       0         0         156       256       0         
5489      3749      5419      225       0         -155      -1        70        0         
5489      3750      5425      219       0         -155      -1        64        0         
5489      3733      5255      234       0         0         -1        234       0         
5507      685       2413      54        8         3040      109       3094      2441      
5521      3671      4769      262       0         490       491       752       0         
5521      3734      5277      244       0         0         -1        244       0         
5521      3735      5280      241       0         0         -1        241       0         
5532      177       591       257       13        4684      55        4941      826       
5535      3689      4891      261       0         383       384       644       0         
5535      3736      5282      253       0         0         -1        253       0         
5535      3739      5295      240       0         0         -1        240       0         
5542      3709      5071      21        0         450       451       471       0         
5542      3762      5523      19        0         0         -1        19        0         
5542      3764      5540      2         0         0         -1        2         0         
5553      3670      4760      271       0         522       523       793       0         
5553      3737      5283      270       0         0         260       270       0         
5553      3765      5545      267       0         -259      -1        8         0         
5553      3741      5310      243       0         0         -1        243       0         
5554      199       665       176       2         4713      395       4889      721       
5556      805       2869      56        2         2631      651       2687      2913      
5575      202       683       178       5         4714      36        4892      838       
5591      3738      5288      37        0         266       267       303       0         
5591      3769      5569      22        0         0         -1        22        0         
5607      3742      5316      54        0         237       238       291       0         
5607      3767      5566      41        0         0         -1        41        0         
5607      3770      5569      38        0         0         -1        38        0         
5622      3771      5584      15        0         23        24        38        0         
5622      3775      5618      4         0         0         -1        4         0         
5625      323       1114      153       16        4358      419       4511      1176      
5629      987       3534      159       6         1936      178       2095      3606      
5634      55        176       283       13        5175      4044      5458      345       
5658      3740      5303      67        0         288       289       355       0         
5658      3773      5605      53        0         0         -1        53        0         
5658      3774      5606      52        0         0         -1        52        0         
5661      3704      5026      217       0         418       419       635       0         
5661      3752      5451      210       0         0         -1        210       0         
5661      3753      5460      201       0         0         -1        201       0         
5670      3692      4904      181       0         585       586       766       0         
5670      3761      5518      152       0         0         -1        152       0         
5670      3763      5538      132       0         0         -1        132       0         
5678      910       3250      33        11        2395      147       2428      3260      
5679      3711      5074      18        0         587       588       605       0         
5679      3783      5662      17        0         0         -1        17        0         
5679      3787      5665      14        0         0         -1        14        0         
5681      303       1048      16        13        4617      508       4633      1058      
5687      208       712       216       15        4759      89        4975      830       
5696      1548      5483      22        2         191       95        213       5488      
5697      1556      5526      39        0         132       133       171       5536      
5697      3784      5663      34        0         0         -1        34        0         
5697      3786      5665      32        0         0         -1        32        0         
5703      770       2740      111       7         2852      197       2963      2846      
5720      1073      3817      28        11        1875      593       1903      3826      
5726      1035      3686      29        3         2011      145       2040      3698      
5746      582       2024      80        10        3642      110       3722      2053      
5747      259       914       101       3         4732      376       4833      940       
5752      3755      5483      162       0         107       108       269       0         
5752      3772      5592      160       0         0         -1        160       0         
5752      3776      5623      129       0         0         94        129       0         
5752      3797      5719      126       0         -93       -1        33        0         
5752      3798      5722      123       0         -93       -1        30        0         
5773      165       557       286       2         4930      55        5216      676       
5779      304       1051      82        0         4646      586       4728      1111      
5780      271       944       269       8         4567      339       4836      1084      
5781      438       1536      287       9         3958      557       4245      1579      
5792      406       1412      222       15        4158      661       4380      1589      
5829      3760      5510      191       0         128       129       319       0         
5829      3781      5644      185       0         0         -1        185       0         
5829      3782      5653      176       0         0         -1        176       0         
5840      3717      5098      170       0         572       573       742       0         
5840      3789      5673      167       0         0         -1        167       0         
5840      3790      5692      148       0         0         -1        148       0         
5841      872       3117      126       13        2598      687       2724      3151      
5851      463       1624      113       0         4114      1741      4227      1731      
5852      3716      5095      173       0         584       585       757       0         
5852      3794      5706      146       0         0         -1        146       0         
5852      3796      5717      135       0         0         -1        135       0         
5857      847       3018      178       14        2661      1995      2839      3062      
5861      283       985       278       15        4598      1191      4876      1072      
5867      852       3047      28        15        2792      598       2820      3063      
5883      1264      4497      22        2         1364      772       1386      4515      
5884      167       558       274       5         5052      111       5326      669       
5894      3729      5212      42        0         640       641       682       0         
5894      3812      5867      27        0         0         -1        27        0         
5894      3814      5880      14        0         0         -1        14        0         
5899      489       1711      118       10        4070      2336      4188      1733      
5906      3744      5351      278       0         277       278       555       0         
5906      3778      5630      276       0         0         -1        276       0         
5906      3780      5634      272       0         0         -1        272       0         
5910      3756      5487      158       0         265       266       423       0         
5910      3803      5771      139       0         0         -1        139       0         
5910      3804      5779      131       0         0         -1        131       0         
5924      1274      4549      97        4         1278      479       1375      4573      
5932      333       1146      235       7         4551      293       4786      1233      
5934      3730      5214      40        0         680       681       720       0         
5934      3815      5896      38        0         0         -1        38        0         
5934      3816      5897      37        0         0         -1        37        0         
5950      541       1882      131       8         3937      108       4068      1906      
5975      1196      4263      92        4         1620      699       1712      4275      
5990      701       2471      49        12        3470      905       3519      2496      
5996      1302      4638      29        5         1329      1         1358      4643      
5997      3777      5626      210       0         161       162       371       0         
5997      3805      5790      207       0         0         -1        207       0         
5997      3806      5793      204       0         0         58        204       0         
5997      3811      5866      188       0         -57       -1        131       0         
5997      3813      5869      185       0         -57       -1        128       0         
5999      789       2798      172       9         3029      141       3201      2899      
6006      803       2857      80        5         3069      793       3149      2905      
6008      717       2544      87        7         3377      134       3464      2614      
6017      367       1263      212       15        4542      103       4754      1333      
6021      1316      4681      287       16        1053      64        1340      4900      
6027      376       1302      96        11        4629      2239      4725      1342      
6066      692       2438      17        7         3611      1048      3628      2454      
6069      642       2259      146       13        3664      98        3810      2295      
6073      305       1053      112       16        4908      648       5020      1083      
6074      3788      5666      117       0         291       292       408       0         
6074      3827      5965      109       0         0         -1        109       0         
6074      3828      5967      107       0         0         -1        107       0         
6088      478       1678      164       8         4246      811       4410      1839      
6101      3766      5562      245       0         294       295       539       0         
6101      3809      5857      244       0         0         127       244       0         
6101      3829      5991      236       0         -126      -1        110       0         
6101      3830      5995      232       0         -126      -1        106       0         
6101      3810      5864      237       0         0         -1        237       0         
6121      3757      5490      211       0         420       421       631       0         
6121      3819      5919      202       0         0         -1        202       0         
6121      3820      5933      188       0         0         -1        188       0         
6131      1636      5791      61        12        279       231       340       5810      
6136      370       1276      121       1         4739      1422      4860      1298      
6153      455       1590      214       9         4349      407       4563      1763      
6153      482       1690      214       7         4249      164       4463      1787      
6153      526       1845      47        2         4261      3604      4308      1873      
6156      1574      5583      94        19        479       1         573       5611      
6161      1128      4033      12        4         2116      2098      2128      4042      
6167      1371      4846      276       16        1045      31        1321      4896      
6172      153       528       195       11        5449      1055      5644      545       
6175      1374      4865      31        12        1279      197       1310      4892      
6180      3745      5355      274       0         551       552       825       0         
6180      3817      5910      270       0         0         -1        270       0         
6180      3818      5912      268       0         0         -1        268       0         
6184      346       1197      98        13        4889      102       4987      1242      
6202      3779      5631      205       0         366       367       571       0         
6202      3833      6006      196       0         0         -1        196       0         
6202      3834      6010      192       0         0         -1        192       0         
6204      3791      5698      287       0         219       220       506       0         
6204      3821      5935      269       0         0         -1        269       0         
6204      3822      5936      268       0         0         -1        268       0         
6204      975       3494      22        3         2688      2685      2710      3502      
6210      245       867       271       15        5072      1140      5343      951       
6215      3808      5832      143       0         240       241       383       0         
6215      3835      6076      139       0         0         -1        139       0         
6215      3836      6079      136       0         0         -1        136       0         
6220      1251      4456      53        17        1711      196       1764      4485      
6220      1247      4443      89        0         1688      1689      1777      4517      
6229      1079      3846      31        1         2352      451       2383      3877      
6230      588       2042      10        7         4178      85        4188      2052      
6234      197       657       252       12        5325      173       5577      866       
6239      629       2195      52        15        3992      416       4044      2219      
6239      265       928       217       12        5094      1737      5311      1039      
6247      1467      5187      11        10        1049      180       1060      5197      
6258      1268      4515      116       1         1627      1522      1743      4552      
6280      1702      6038      35        14        207       202       242       6057      
6283      1536      5442      25        0         816       817       841       5467      
6288      1760      6256      11        14        21        1         32        6265      
6298      1667      5905      197       0         196       197       393       6032      
6298      3841      6105      193       0         0         -1        193       0         
6298      3842      6107      191       0         0         -1        191       0         
6308      1547      5481      164       4         663       1         827       5613      
6311      3832      6004      112       0         195       196       307       0         
6311      3850      6218      93        0         0         -1        93        0         
6311      3853      6223      88        0         0         -1        88        0         
6313      808       2875      11        9         3427      677       3438      2880      
6315      3758      5491      194       0         630       631       824       0         
6315      3843      6130      185       0         0         -1        185       0         
6315      3844      6144      171       0         0         -1        171       0         
6322      3785      5663      120       0         539       540       659       0         
6322      3846      6207      115       0         0         -1        115       0         
6322      3847      6208      114       0         0         -1        114       0         
6322      513       1800      278       8         4244      89        4522      1870      
6334      1485      5243      16        12        1075      1066      1091      5254      
6342      3768      5566      241       0         535       536       776       0         
6342      3839      6102      240       0         0         -1        240       0         
6342      3840      6104      238       0         0         112       238       0         
6342      3851      6219      234       0         -111      -1        123       0         
6342      3854      6224      229       0         -111      -1        118       0         
6354      364       1251      191       14        4912      60        5103      1369      
6370      963       3452      77        5         2841      1318      2918      3525      
6425      694       2445      285       6         3695      1102      3980      2460      
6433      604       2095      211       13        4127      184       4338      2281      
6436      480       1685      123       3         4628      2221      4751      1752      
6440      3837      6089      129       0         222       223       351       0         
6440      3856      6325      115       0         0         -1        115       0         
6440      3862      6337      103       0         0         -1        103       0         
6454      1317      4681      51        11        1722      2         1773      4705      
6460      1774      6308      39        2         113       106       152       6322      
6461      3845      6202      119       0         140       141       259       0         
6461      3866      6347      114       0         0         -1        114       0         
6461      3868      6361      100       0         0         -1        100       0         
6478      3792      5702      274       0         502       503       776       0         
6478      3848      6210      268       0         0         252       268       0         
6478      3874      6463      266       0         -251      -1        15        0         
6478      3875      6465      264       0         -251      -1        13        0         
6478      3852      6219      259       0         0         125       259       0         
6478      3869      6361      241       0         -124      -1        117       0         
6478      3871      6374      228       0         -124      -1        104       0         
6500      3823      5938      202       0         360       361       562       0         
6500      3855      6302      198       0         0         -1        198       0         
6500      3858      6330      170       0         0         -1        170       0         
6502      1403      4975      43        5         1484      1         1527      4990      
6506      3759      5494      191       0         821       822       1012      0         
6506      3863      6343      163       0         0         15        163       0         
6506      3867      6360      160       0         -14       -1        146       0         
6506      3870      6371      149       0         -14       -1        135       0         
6506      3864      6345      161       0         0         -1        161       0         
6516      349       1204      122       6         5190      580       5312      1287      
6539      1256      4475      113       0         1951      1086      2064      4523      
6550      678       2391      139       15        4020      145       4159      2518      
6562      374       1291      41        4         5230      1286      5271      1324      
6564      520       1815      253       0         4496      422       4749      2012      
6565      3838      6093      125       0         347       348       472       0         
6565      3872      6451      114       0         0         -1        114       0         
6565      3873      6458      107       0         0         -1        107       0         
6575      3865      6346      14        0         215       216       229       0         
6575      3888      6563      12        0         0         -1        12        0         
6575      3889      6568      7         0         0         -1        7         0         
6579      535       1874      52        11        4653      2493      4705      1881      
6589      3849      6211      110       0         268       269       378       0         
6589      3879      6497      92        0         0         -1        92        0         
6589      3886      6522      67        0         0         -1        67        0         
6599      3857      6330      34        0         235       236       269       0         
6599      3890      6572      27        0         0         -1        27        0         
6599      3891      6575      24        0         0         -1        24        0         
6604      3793      5703      282       0         619       620       901       0         
6604      3860      6333      271       0         0         -1        271       0         
6604      3861      6337      267       0         0         -1        267       0         
6631      3859      6332      32        0         267       268       299       0         
6631      3897      6624      7         0         0         -1        7         0         
6635      565       1958      115       2         4562      2419      4677      2064      
6645      3800      5753      139       0         753       754       892       0         
6645      3883      6516      129       0         0         -1        129       0         
6645      3884      6517      128       0         0         -1        128       0         
6665      230       787       217       0         5661      2272      5878      843       
6677      242       854       71        11        5752      604       5823      896       
6686      311       1081      50        8         5555      669       5605      1109      
6695      3824      5945      195       0         555       556       750       0         
6695      3880      6501      194       0         0         -1        194       0         
6695      3887      6532      163       0         0         -1        163       0         
6699      207       706       275       3         5718      379       5993      720       
6704      324       1118      163       3         5423      308       5586      1183      
6706      343       1182      228       9         5296      1394      5524      1340      
6715      755       2688      74        12        3953      461       4027      2701      
6727      1091      3899      73        3         2755      652       2828      3906      
6746      92        305       271       14        6170      25        6441      340       
6747      3795      5707      269       0         771       772       1040      0         
6747      3876      6481      266       0         0         141       266       0         
6747      3898      6627      260       0         -140      -1        120       0         
6747      3901      6635      252       0         -140      -1        112       0         
6747      3881      6507      240       0         0         -1        240       0         
6775      3799      5750      171       0         854       855       1025      0         
6775      3896      6610      165       0         0         -1        165       0         
6775      3899      6629      146       0         0         -1        146       0         
6792      458       1604      147       5         5041      282       5188      1619      
6793      573       1985      112       7         4696      107       4808      2049      
6806      983       3525      25        11        3256      1161      3281      3534      
6810      3801      5756      165       0         889       890       1054      0         
6810      3903      6679      131       0         0         -1        131       0         
6810      3904      6688      122       0         0         -1        122       0         
6818      262       919       216       5         5683      2130      5899      981       
6834      3825      5958      139       0         737       738       876       0         
6834      3906      6706      128       0         0         -1        128       0         
6834      3908      6709      125       0         0         -1        125       0         
6837      3893      6593      243       0         1         2         244       0         
6837      3894      6600      237       0         0         -1        237       0         
6837      3895      6608      229       0         0         -1        229       0         
6842      1794      6378      261       2         203       198       464       6438      
6842      3892      6582      254       0         6         -1        260       0         
6843      792       2819      35        9         3989      1130      4024      2829      
6846      1260      4493      30        9         2323      736       2353      4514      
6865      3882      6514      111       0         240       241       351       0         
6865      3916      6783      82        0         0         -1        82        0         
6865      3917      6790      75        0         0         -1        75        0         
6868      1451      5136      51        11        1681      68        1732      5185      
6869      190       635       121       0         6113      330       6234      647       
6883      1273      4545      41        3         2297      62        2338      4552      
6887      1028      3658      28        2         3201      858       3229      3665      
6891      3807      5831      144       0         916       917       1060      0         
6891      3913      6757      134       0         0         -1        134       0         
6891      3914      6758      133       0         0         -1        133       0         
6929      335       1150      100       1         5679      465       5779      1210      
6930      1901      6756      14        6         160       1         174       6762      
6932      1511      5336      196       3         1400      154       1596      5456      
6940      3802      5762      130       0         1048      1049      1178      0         
6940      3921      6828      112       0         0         -1        112       0         
6940      3922      6839      101       0         0         -1        101       0         
6942      724       2565      193       6         4184      1777      4377      2587      
6949      834       2973      85        16        3891      19        3976      3028      
6968      521       1822      63        8         5083      153       5146      1869      
6969      3826      5962      135       0         872       873       1007      0         
6969      3923      6844      125       0         0         -1        125       0         
6969      3925      6866      103       0         0         -1        103       0         
6973      3885      6517      108       0         348       349       456       0         
6973      3926      6867      106       0         0         -1        106       0         
6973      3927      6869      104       0         0         -1        104       0         
6976      3877      6484      228       0         264       265       492       0         
6976      3911      6755      221       0         0         -1        221       0         
6976      3912      6756      220       0         0         -1        220       0         
